Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Decedent's home,353,"21,183",495,73,10,785,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Hospice facility,121,"5,836",245,27,11,350,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Nursing home/long term care facility,918,"11,746",573,87,31,"1,434",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Other,36,"3,305",45,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Place of death unknown,,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Total - All Places of Death,"17,961","196,938","17,711","7,201",326,"28,754",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, inpatient","10,282","51,437","11,514","5,323",200,"16,645",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, outpatient or emergency room",681,"13,066",535,111,23,"1,127",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,"Healthcare setting, dead on arrival",,203,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Decedent's home,"1,664","63,857","1,309",330,36,"2,674",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Hospice facility,"1,568","20,716","2,296",736,33,"3,158",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Nursing home/long term care facility,"2,996","27,290","1,536",557,26,"3,995",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Other,761,"20,369",512,143,,"1,138",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maryland,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Total - All Places of Death,"21,066","225,950","20,064","8,640",554,"33,006",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,"Healthcare setting, inpatient","12,348","74,187","14,861","6,957",395,"20,623",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,"Healthcare setting, outpatient or emergency room",699,"15,380",570,153,28,"1,140",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,"Healthcare setting, dead on arrival",30,"2,068",12,,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Decedent's home,"1,423","67,350","1,371",321,42,"2,514",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Hospice facility,258,"10,639",501,92,21,686,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Nursing home/long term care facility,"5,675","42,192","2,457","1,025",52,"7,154",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Other,633,"14,132",292,90,13,846,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Massachusetts,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Total - All Places of Death,"36,837","388,247","35,748","18,392",669,"54,821",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,"Healthcare setting, inpatient","24,480","116,867","27,890","15,497",467,"37,311",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,"Healthcare setting, outpatient or emergency room","1,616","23,401","1,566",616,40,"2,604",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,"Healthcare setting, dead on arrival",18,815,12,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Decedent's home,"4,498","146,374","2,929","1,109",80,"6,391",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Hospice facility,"1,294","30,566",772,225,18,"1,859",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Nursing home/long term care facility,"4,588","56,779","2,242",813,57,"6,071",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Other,342,"13,398",336,131,,554,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Michigan,Place of death unknown,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Total - All Places of Death,"15,171","177,048","13,901","5,574",380,"23,862",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,"Healthcare setting, inpatient","7,525","46,807","8,812","4,056",223,"12,493",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,"Healthcare setting, outpatient or emergency room",312,"6,529",279,87,15,519,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,"Healthcare setting, dead on arrival",12,164,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Decedent's home,"1,884","58,908","1,721",462,55,"3,197",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Hospice facility,137,"5,271",233,42,,333,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Nursing home/long term care facility,"5,041","50,442","2,638",871,75,"6,879",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Other,258,"8,727",209,54,,420,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Minnesota,Place of death unknown,,200,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Total - All Places of Death,"14,789","131,755","15,187","7,427",259,"22,773",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,"Healthcare setting, inpatient","10,014","42,790","12,181","6,286",176,"16,062",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,"Healthcare setting, outpatient or emergency room",881,"11,462",652,257,20,"1,295",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,"Healthcare setting, dead on arrival",15,279,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Decedent's home,"1,584","45,941",967,323,42,"2,266",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Hospice facility,336,"5,647",422,147,,614,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Nursing home/long term care facility,"1,754","16,409",845,365,12,"2,242",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Other,205,"9,226",115,46,,276,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Mississippi,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Total - All Places of Death,"23,215","257,629","22,357","10,995",572,"35,103",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,"Healthcare setting, inpatient","15,046","78,797","17,001","9,015",375,"23,379",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,"Healthcare setting, outpatient or emergency room",707,"14,281",601,218,35,"1,123",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,"Healthcare setting, dead on arrival",,150,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Decedent's home,"2,123","87,204","1,728",606,60,"3,300",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Hospice facility,388,"10,397",582,180,26,810,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Nursing home/long term care facility,"4,732","53,886","2,279",915,68,"6,159",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Other,215,"12,914",164,59,,327,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Missouri,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Total - All Places of Death,"3,945","41,642","3,683","1,994",107,"5,737",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,"Healthcare setting, inpatient","2,586","13,031","2,779","1,636",62,"3,787",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,"Healthcare setting, outpatient or emergency room",87,"1,562",88,30,,152,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,"Healthcare setting, dead on arrival",,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Decedent's home,435,"14,495",301,114,15,637,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Hospice facility,77,"1,673",132,53,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Nursing home/long term care facility,732,"8,456",357,153,18,954,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Other,25,"2,380",26,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Montana,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Total - All Places of Death,"5,781","65,706","5,893","2,483",161,"9,340",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,"Healthcare setting, inpatient","3,477","19,870","4,207","2,021",104,"5,759",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,"Healthcare setting, outpatient or emergency room",162,"3,482",125,35,,256,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,"Healthcare setting, dead on arrival",0,56,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Decedent's home,531,"18,097",511,130,20,930,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Hospice facility,76,"1,912",87,14,,150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Nursing home/long term care facility,"1,244","15,421",811,246,22,"1,830",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Other,291,"6,868",151,37,,414,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nebraska,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Total - All Places of Death,"12,173","111,101","15,037","9,165",199,"18,232",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,"Healthcare setting, inpatient","8,696","36,728","11,816","7,374",124,"13,255",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,"Healthcare setting, outpatient or emergency room",444,"9,046",494,235,10,713,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,"Healthcare setting, dead on arrival",,21,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Decedent's home,"1,329","37,728",899,480,39,"1,783",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Hospice facility,"1,100","11,365","1,259",766,15,"1,607",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Nursing home/long term care facility,472,"10,318",438,243,,671,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Other,131,"5,885",130,66,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Nevada,Place of death unknown,0,10,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Total - All Places of Death,"3,067","48,253","3,136","1,140",99,"5,154",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,"Healthcare setting, inpatient","1,524","12,945","2,205",929,59,"2,857",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,"Healthcare setting, outpatient or emergency room",69,"2,076",70,13,,130,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,"Healthcare setting, dead on arrival",,41,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Decedent's home,344,"17,516",306,64,17,600,
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Hospice facility,50,"2,238",89,15,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Nursing home/long term care facility,"1,001","10,569",425,110,15,"1,329",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Other,76,"2,852",40,,,108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Hampshire,Place of death unknown,,16,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Total - All Places of Death,"35,430","295,480","30,151","17,196",361,"48,714",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,"Healthcare setting, inpatient","24,046","106,246","23,288","13,916",267,"33,662",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,"Healthcare setting, outpatient or emergency room","1,052","16,618",715,281,13,"1,496",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,"Healthcare setting, dead on arrival",47,968,21,,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Decedent's home,"2,539","93,169","1,492",580,36,"3,483",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Hospice facility,805,"9,476",670,329,,"1,154",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Nursing home/long term care facility,"6,449","53,194","3,649","1,927",29,"8,198",
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Other,491,"15,805",315,154,,659,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,New Jersey,Place of death unknown,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
